(10, 10), 10, 'E', player, map);
(5, 10), 10, '?', player, map);
(15, 10), 15, 'H', player, map);

(62, 3), 10, 'E', player, map);
(70, 2), 10, 'E', player, map);
(79, 3), 10, 'E', player, map);
(79, 6), 10, 'E', player, map);
(79, 11), 10, 'E', player, map);
(70, 11), 10, 'E', player, map);
(63, 11), 10, 'E', player, map);

(7, 27), 10, 'E', player, map);
(7, 30), 10, 'E', player, map);
(9, 33), 10, 'E', player, map);
(16, 33), 10, 'E', player, map);
(22, 33), 10, 'E', player, map);
(22, 31), 10, 'E', player, map);
(19, 30), 10, 'E', player, map);
(19, 31), 10, 'E', player, map);
(19, 24), 10, 'E', player, map);

(64, 24), 15, 'H', player, map);
(78, 24), 15, 'H', player, map);
(63, 28), 15, 'H', player, map);
(68, 31), 15, 'H', player, map);
(78, 28), 10, 'E', player, map);
(63, 31), 10, 'E', player, map);
